is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
1.0,0.0,11.95,25.0,0.14,0.0,8.4,2.3,0.0,0.0
0.0,0.0,8.22,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,8.91,16.0,0.0,0.0,13.7,0.9,0.0,1.0
0.0,0.0,6.87,21.0,,1.0,0.0,0.0,0.0,1.0
0.0,0.0,6.39,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.94,32.0,1.38,0.0,69.4,4.0,0.0,0.0
0.0,0.0,8.96,18.0,0.0,0.0,21.3,2.0,0.0,1.0
0.0,0.0,5.48,14.0,,1.0,0.0,0.0,0.0,1.0
0.0,0.0,8.54,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,8.33,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,8.44,17.0,0.0,0.0,9.9,1.1,0.0,1.0
1.0,1.0,11.93,10.0,1.28,0.0,10.6,0.6,0.0,0.0
0.0,0.0,6.64,10.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.53,14.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.97,23.0,0.28,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,18.0,1.8,0.0,1.0,0.0,0.0,0.0
1.0,0.0,11.93,22.0,0.01,1.0,10.6,2.4,0.0,0.0
0.0,0.0,6.45,40.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.81,14.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,65.0,0.21,0.0,116.8,12.1,0.0,0.0
0.0,0.0,5.95,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,11.93,24.0,,0.0,9.3,0.7,0.0,0.0
0.0,0.0,8.53,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,11.93,41.0,,0.0,24.1,3.2,0.0,0.0
0.0,0.0,8.57,20.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.21,14.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.93,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,7.02,13.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,10.93,63.0,0.0,0.0,38.1,7.9,0.0,1.0
0.0,0.0,6.03,9.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,9.22,80.0,,0.0,235.0,6.0,0.0,1.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.6,54.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,11.12,33.0,,0.0,11.4,1.6,0.0,1.0
0.0,0.0,11.88,129.0,,0.0,125.8,9.2,0.0,1.0
0.0,0.0,5.44,18.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,11.93,45.0,1.83,0.0,70.3,9.7,0.0,0.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,6.35,21.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.64,14.0,,2.0,0.0,0.0,0.0,1.0
1.0,0.0,5.3,79.0,,2.0,0.0,0.0,0.0,1.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,16.0,1.82,0.0,19.4,1.9,0.0,0.0
0.0,0.0,5.53,13.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,10.26,17.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.7,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,7.79,10.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,8.13,22.0,,0.0,10.2,7.4,0.0,1.0
0.0,0.0,10.8,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,23.0,1.85,0.0,17.5,5.9,0.0,0.0
1.0,0.0,11.93,33.0,,0.0,40.9,2.0,0.0,0.0
0.0,0.0,5.7,10.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,9.18,20.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,9.75,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,16.0,1.56,0.0,28.3,2.1,0.0,0.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,6.79,17.0,0.45,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.1,13.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,7.61,13.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.28,13.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,7.64,39.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.97,14.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,6.92,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,20.0,1.8,1.0,62.6,5.2,0.0,0.0
1.0,0.0,11.93,37.0,0.44,0.0,26.5,2.2,0.0,0.0
1.0,1.0,11.93,10.0,1.21,0.0,10.1,0.3,0.0,0.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,21.0,0.21,0.0,48.2,2.9,0.0,0.0
0.0,0.0,9.21,24.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.72,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.12,14.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,11.93,56.0,,6.0,117.3,15.1,0.0,0.0
1.0,0.0,10.08,20.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.81,12.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,8.19,14.0,0.0,4.0,11.5,2.0,0.0,1.0
0.0,0.0,8.04,17.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.23,14.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,11.93,69.0,0.52,1.0,584.6,21.3,0.0,0.0
0.0,0.0,11.93,33.0,,2.0,54.7,3.1,0.0,0.0
1.0,1.0,11.93,40.0,1.1,0.0,446.2,8.9,0.0,0.0
1.0,1.0,5.99,24.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,11.93,24.0,,0.0,2.9,0.3,0.0,0.0
1.0,1.0,8.38,46.0,0.0,0.0,10.8,0.9,0.0,1.0
0.0,0.0,8.25,50.0,0.0,1.0,95.1,7.0,0.0,1.0
1.0,0.0,11.09,15.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,10.0,1.2,0.0,26.7,2.6,0.0,0.0
0.0,0.0,7.29,14.0,,1.0,10.2,0.8,0.0,1.0
0.0,0.0,5.34,53.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,15.0,1.66,0.0,2.8,0.2,0.0,0.0
0.0,0.0,8.72,40.0,,0.0,161.6,17.0,0.0,1.0
0.0,0.0,5.52,13.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,11.93,30.0,0.97,0.0,168.6,15.6,0.0,0.0
1.0,0.0,7.81,24.0,,1.0,12.2,1.0,0.0,1.0
1.0,1.0,12.8,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,11.93,56.0,,0.0,1140.3,65.4,0.0,0.0
1.0,1.0,6.29,14.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,8.75,21.0,,0.0,13.7,1.7,0.0,1.0
1.0,1.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.42,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.35,22.0,,2.0,0.0,0.0,0.0,1.0
0.0,0.0,6.24,11.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.14,14.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,7.22,14.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,9.38,20.0,,1.0,2.0,0.2,0.0,1.0
0.0,0.0,7.82,8.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,9.59,25.0,,10.0,77.5,4.8,0.0,1.0
1.0,0.0,8.27,22.0,,5.0,96.1,5.7,0.0,1.0
1.0,0.0,10.55,22.0,0.0,0.0,5.0,0.4,0.0,1.0
0.0,0.0,5.64,14.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,8.36,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,6.54,0.0,,3.0,0.0,0.0,3.0,1.0
0.0,0.0,7.09,7.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,59.0,0.46,0.0,78.2,36.4,0.0,0.0
1.0,0.0,6.83,12.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,9.23,20.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,11.93,25.0,0.04,0.0,24.6,3.5,0.0,0.0
0.0,0.0,10.24,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,15.0,1.26,0.0,7.1,0.9,0.0,0.0
1.0,0.0,9.96,29.0,,0.0,18.5,4.0,0.0,1.0
0.0,0.0,5.47,16.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,21.0,1.74,0.0,111.9,6.6,0.0,0.0
1.0,1.0,8.45,37.0,,2.0,10.1,1.6,0.0,1.0
0.0,0.0,7.04,13.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,11.93,24.0,,0.0,10.0,0.7,0.0,0.0
1.0,1.0,11.93,34.0,1.68,2.0,265.7,18.4,0.0,0.0
0.0,0.0,11.93,24.0,,0.0,0.7,0.1,0.0,0.0
0.0,0.0,5.7,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.25,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.7,24.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,11.51,24.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,5.51,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,17.0,1.77,0.0,14.1,1.0,0.0,0.0
1.0,0.0,10.19,14.0,,0.0,29.0,2.0,0.0,1.0
1.0,0.0,11.93,21.0,0.12,0.0,107.3,2.7,0.0,0.0
0.0,0.0,6.26,13.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,7.91,24.0,,0.0,11.4,1.6,0.0,1.0
0.0,0.0,5.62,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,5.3,12.0,,0.0,0.0,0.0,3.0,1.0
1.0,1.0,11.93,15.0,1.65,0.0,5.2,0.2,0.0,0.0
0.0,0.0,8.33,18.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,9.06,20.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,11.89,24.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,7.85,5.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,7.21,10.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,7.31,14.0,,0.0,2.5,0.2,0.0,1.0
0.0,0.0,7.44,22.0,,2.0,18.1,2.6,0.0,1.0
0.0,0.0,5.34,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,12.16,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,15.0,1.32,1.0,68.8,3.9,0.0,0.0
0.0,0.0,6.92,21.0,0.33,1.0,0.0,0.0,0.0,1.0
1.0,1.0,10.56,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,1.0,11.93,48.0,1.01,1.0,113.2,7.6,0.0,0.0
0.0,0.0,5.53,0.0,,0.0,0.0,0.0,0.0,1.0
0.0,0.0,5.61,0.0,,0.0,0.0,0.0,0.0,1.0
1.0,0.0,8.95,42.0,0.0,0.0,37.6,5.6,0.0,1.0
0.0,0.0,5.69,13.0,,0.0,0.0,0.0,0.0,1.0
